Level,Lesson,Topic,Word 1,Word 2,Word 3,Word 4,Word 5,Main verb / phrase focus,Grammar focus
A1,1,Greetings and saying who you are,hallo,guten Morgen,ich,du,Name,"sein: ich bin, du bist",Saying “I am…” and “you are…”
A1,2,Names and introductions,heißen,mein,dein,bitte,danke,"heißen: ich heiße, du heißt",Asking and answering “What is your name?”
A1,3,Where you come from,Deutschland,Schweiz,Österreich,aus,woher,"kommen: ich komme, du kommst",Using aus with countries and cities
A1,4,Where you live,wohnen,Stadt,Dorf,hier,dort,"wohnen: ich wohne, du wohnst",Word order in simple statements
A1,5,Languages,Deutsch,Englisch,Chinesisch,ein bisschen,gut,"sprechen: ich spreche, du sprichst",Asking “Do you speak…?”
A1,6,Polite survival phrases,ja,nein,Entschuldigung,kein Problem,langsam,"verstehen: ich verstehe, du verstehst",Negation with nicht
A1,7,Family basics,Mutter,Vater,Bruder,Schwester,Familie,"haben: ich habe, du hast",Using haben for family members
A1,8,People and descriptions,Mann,Frau,Kind,Freund,Freundin,"sein: er ist, sie ist",He/she forms with sein
A1,9,Food basics,Brot,Wasser,Kaffee,Tee,Hunger,"möchten: ich möchte, du möchtest",Polite requests with ich möchte
A1,10,Ordering simple things,zahlen,Rechnung,Karte,bar,nehmen,"nehmen: ich nehme, du nimmst",Verb in second position in questions
A1,11,Drinks and preferences,Milch,Saft,Bier,Wein,lieber,"trinken: ich trinke, du trinkst",Saying what you like to drink
A1,12,Everyday eating,essen,Frühstück,Mittagessen,Abendessen,heute,"essen: ich esse, du isst",Stem-changing verb essen → du isst
A1,13,Time of day,Morgen,Nachmittag,Abend,Nacht,Uhr,sein: es ist,Saying the time: Es ist…
A1,14,Daily routine 1,aufstehen,früh,spät,jetzt,müde,"aufstehen: ich stehe auf, du stehst auf",Separable verbs with aufstehen
A1,15,Daily routine 2,arbeiten,lernen,Pause,Schule,Büro,"arbeiten: ich arbeite, du arbeitest",Regular verb endings with extra -e-
A1,16,Going places,gehen,nach Hause,Schule,Arbeit,Supermarkt,"gehen: ich gehe, du gehst",Using nach in basic movement phrases
A1,17,Transport,Bus,Zug,Auto,Fahrrad,Bahnhof,"fahren: ich fahre, du fährst",Stem-changing verb fahren → du fährst
A1,18,Shopping basics,kaufen,Preis,Euro,teuer,billig,"kaufen: ich kaufe, du kaufst",Yes/no questions: Kaufst du…?
A1,19,Objects and gender,Tisch,Stuhl,Tasche,Handy,Buch,haben: ich habe einen/eine/ein…,"Articles: der, die, das"
A1,20,Likes and dislikes,gern,Musik,Film,Sport,Buch,"mögen: ich mag, du magst",Saying likes with gern and mögen
A1,21,Daily activities: what I do and what I did,Hausaufgaben,Sport,eine Pause,Kaffee,gestern,"machen: ich mache, du machst, er/sie macht, wir machen, ich habe gemacht",First intro to perfect tense: haben + gemacht
