Lesson,Filename,Topic,Target language,Teacher language,Estimated format
1,A1_Lesson_01_Greetings_and_saying_who_you_are.txt,Greetings and saying who you are,German (de-DE),English (en),TTS-ready plain text
2,A1_Lesson_02_Names_and_introductions.txt,Names and introductions,German (de-DE),English (en),TTS-ready plain text
3,A1_Lesson_03_Where_you_come_from.txt,Where you come from,German (de-DE),English (en),TTS-ready plain text
4,A1_Lesson_04_Where_you_live.txt,Where you live,German (de-DE),English (en),TTS-ready plain text
5,A1_Lesson_05_Languages.txt,Languages,German (de-DE),English (en),TTS-ready plain text
6,A1_Lesson_06_Polite_survival_phrases.txt,Polite survival phrases,German (de-DE),English (en),TTS-ready plain text
7,A1_Lesson_07_Family_basics.txt,Family basics,German (de-DE),English (en),TTS-ready plain text
8,A1_Lesson_08_People_and_descriptions.txt,People and descriptions,German (de-DE),English (en),TTS-ready plain text
9,A1_Lesson_09_Food_basics.txt,Food basics,German (de-DE),English (en),TTS-ready plain text
10,A1_Lesson_10_Ordering_simple_things.txt,Ordering simple things,German (de-DE),English (en),TTS-ready plain text
11,A1_Lesson_11_Drinks_and_preferences.txt,Drinks and preferences,German (de-DE),English (en),TTS-ready plain text
12,A1_Lesson_12_Everyday_eating.txt,Everyday eating,German (de-DE),English (en),TTS-ready plain text
13,A1_Lesson_13_Time_of_day.txt,Time of day,German (de-DE),English (en),TTS-ready plain text
14,A1_Lesson_14_Daily_routine_1.txt,Daily routine 1,German (de-DE),English (en),TTS-ready plain text
15,A1_Lesson_15_Daily_routine_2.txt,Daily routine 2,German (de-DE),English (en),TTS-ready plain text
16,A1_Lesson_16_Going_places.txt,Going places,German (de-DE),English (en),TTS-ready plain text
17,A1_Lesson_17_Transport.txt,Transport,German (de-DE),English (en),TTS-ready plain text
18,A1_Lesson_18_Shopping_basics.txt,Shopping basics,German (de-DE),English (en),TTS-ready plain text
19,A1_Lesson_19_Objects_and_gender.txt,Objects and gender,German (de-DE),English (en),TTS-ready plain text
20,A1_Lesson_20_Likes_and_dislikes.txt,Likes and dislikes,German (de-DE),English (en),TTS-ready plain text
21,A1_Lesson_21_Daily_activities_what_I_do_and_what_I_did.txt,Daily activities: what I do and what I did,German (de-DE),English (en),TTS-ready plain text
